ks	count
KP_20300161962356	1
KP_20300163042132	1
KP_20300163145765	1
KP_20300164975607	1
KP_20300160138410	1
KP_20300154175752	1
KP_20300163754869	1
KP_20300164895448	1
KP_20300156175492	1
KP_20300162667725	1
KP_20300163225639	1
KP_20300165360563	1
KP_20300163963898	1
KP_20300161501602	1
KP_20300163403633	1
KP_20300163039955	1
KP_20300164562563	1
KP_20300164512580	1
KP_20300163866232	1
KP_20300160215919	1
KP_20300162896426	1
KP_20300165301121	1
KP_20300161440142	1
KP_20300162431922	1
KP_20300156153065	1
KP_20300164932982	1
KP_20300163906479	1
KP_20300162503578	1
KP_20300164402883	1
KP_20300159763530	1
KP_20300162220515	1
KP_20300161402014	1
KP_20300154095952	1
KP_20300161551187	1
KP_20300159534671	1
KP_20300162654642	1
KP_20300160601036	1
KP_20300156384754	1
KP_20300157340717	1
KP_20300162208377	1
KP_20300161771109	1
KP_20300163268099	1
KP_20300157663604	1
KP_20300160456421	1
KP_20300160905710	1
KP_20300162460073	1
KP_20300161524791	1
KP_20300160543355	1
KP_20300068522612	1
KP_20300165482596	1
KP_20300163378492	1
KP_20300161098694	1
KP_20300154422228	1
KP_20300164868598	1
KP_20300162417275	1
KP_20300159798830	1
KP_20300161040581	1
KP_20300158267019	1
KP_20300160841056	1
KP_20300163177916	1
KP_20300158360088	1
KP_20300162051789	1
KP_20300157201190	1
KP_20300155014931	1
KP_20300163289737	1
KP_20300161030445	1
KP_20300155953674	1
KP_20300154997510	1
KP_20300158793029	1
KP_20300156531011	1
KP_20300166185542	1
KP_20300158635501	1
KP_20300165096326	1
KP_20300162887884	1
KP_20300157116392	1
KP_20300158052310	1
KP_20300155479241	1
KP_20300161230784	1
KP_20300164503560	1
KP_20300165798687	1
KP_20300154895149	1
KP_20300155193265	1
KP_20300158359685	1
KP_20300155454319	1
KP_20300156212018	1
KP_20300163411752	1
KP_20300155413017	1
KP_20300162755274	1
KP_20300163739231	1
KP_20300160068557	1
KP_20300161812845	1
KP_20300164356375	1
KP_20300160381360	1
KP_20300165170312	1
KP_20300164098375	1
KP_20300163715034	1
KP_20300164609081	1
KP_20300164516350	1
KP_20300160901823	1
KP_20300162817693	1
KP_20300157615686	1
KP_20300159851520	1
KP_20300159165278	1
KP_20300160185345	1
KP_20300165232754	1
KP_20300164019523	1
KP_20300158981647	1
KP_20300163024232	1
KP_20300160622140	1
KP_20300154886205	1
KP_20300155244551	1
KP_20300159942606	1
KP_20300158966240	1
KP_20300157439093	1
KP_20300162816967	1
KP_20300160028286	1
KP_20300156556292	1
KP_20300165304292	1
KP_20300161290516	1
KP_20300158767036	1
KP_20300155277160	1
KP_20300157973924	1
KP_20300164985865	1
KP_20300159940156	1
KP_20300154468607	1
KP_20300164204859	1
KP_20300155721670	1
KP_20300157723193	1
KP_20300159063610	1
KP_20300162592579	1
KP_20300154768631	1
KP_20300158688190	1
KP_20300157643637	1
KP_20300163637919	1
KP_20300162836724	1
KP_20300163260010	1
KP_20300158152259	1
KP_20300155020557	1
KP_20300165345382	1
KP_20300160702402	1
KP_20300157382109	1
KP_20300158220243	1
KP_20300068518644	1
KP_20300165220096	1
KP_20300155124158	1
KP_20300156791526	1
KP_20300158738691	1
KP_20300165486148	1
KP_20300164664690	1
KP_20300161846468	1
KP_20300163696877	1
KP_20300159315929	1
KP_20300159808708	1
KP_20300082498538	1
KP_20300157138708	1
KP_20300161976436	1
KP_20300158720070	1
KP_20300160086975	1
KP_20300160008720	1
KP_20300165271286	1
KP_20300159933790	1
KP_20300163777914	1
KP_20300156916638	1
KP_20300162748557	1
KP_20300162809504	1
KP_20300165246172	1
KP_20300164458397	1
KP_20300157387698	1
KP_20300165634419	1
KP_20300163686393	1
KP_20300163516998	1
KP_20300165696422	1
KP_20300164294395	1
KP_20300161847944	1
KP_20300156351325	1
KP_20300157763221	1
KP_20300163994381	1
KP_20300157722333	1
KP_20300164519273	1
KP_20300160405855	1
KP_20300155387134	1
KP_20300068524973	1
KP_20300158280414	1
KP_20300157976032	1
KP_20300159696220	1
KP_20300155458790	1
KP_20300068549208	1
KP_20300158871872	1
KP_20300158329935	1
KP_20300155818936	1
KP_20300159891046	1
KP_20300160051423	1
KP_20300159857672	1
KP_20300160102759	1
KP_20300159331316	1
KP_20300158848164	1
KP_20300163498787	1
KP_20300165791005	1
KP_20300156318951	1
KP_20300164467177	1
KP_20300164193945	1
KP_20300158595173	1
KP_20300164881517	1
KP_20300165756308	1
KP_20300166035835	1
KP_20300163543762	1
KP_20300163886382	1
KP_20300164378731	1
KP_20300155729815	1
KP_20300159164223	1
KP_20300160157869	1
KP_20300157208392	1
KP_20300165133718	1
KP_20300154165243	1
KP_20300158160184	1
KP_20300157501283	1
KP_20300161664432	1
KP_20300164200218	1
KP_20300157028983	1
KP_20300156573147	1
KP_20300158281881	1
KP_20300163238006	1
KP_20300162841348	1
KP_20300157873069	1
KP_20300159126640	1
KP_20300154773071	1
KP_20300164421081	1
KP_20300156978208	1
KP_20300161134397	1
KP_20300163804797	1
KP_20300155876106	1
KP_20300164740231	1
KP_20300163329064	1
KP_20300164190423	1
KP_20300162948087	1
KP_20300164980423	1
KP_20300162799790	1
KP_20300163554164	1
KP_20300161577229	1
KP_20300164604191	1
KP_20300158645303	1
KP_20300157273587	1
KP_20300160161004	1
KP_20300157728596	1
KP_20300157135253	1
KP_20300160341218	1
KP_20300163547509	1
KP_20300157083575	1
KP_20300160831601	1
KP_20300156928593	1
KP_20300159810969	1
KP_20300161466027	1
KP_20300161312180	1
KP_20300162931587	1
KP_20300164803096	1
KP_20300163088240	1
KP_20300158416435	1
KP_20300163281230	1
KP_20300165736489	1
KP_20300159885515	1
KP_20300155105150	1
KP_20300155969645	1
KP_20300159033326	1
KP_20300159969279	1
KP_20300163703339	1
KP_20300164668346	1
KP_20300162907718	1
KP_20300164205116	1
KP_20300159041169	1
KP_20300158093236	1
KP_20300164995832	1
KP_20300154734813	1
KP_20300160800947	1
KP_20300162478057	1
KP_20300164450382	1
KP_20300164021189	1
